implementation,vertices,edges,time(ns),comparisons
a,424,874,265100,570
b,424,874,67600,565
a,425,1105,267600,622
b,425,1105,118900,623
a,426,821,263700,536
b,426,821,94800,534
a,427,691,261200,507
b,427,691,82900,508
a,428,651,257500,494
b,428,651,52300,493
a,429,952,279500,575
b,429,952,66200,576
a,430,1048,288200,602
b,430,1048,68700,602
a,431,942,270700,590
b,431,942,67700,593
a,432,481,260000,452
b,432,481,45000,452
a,433,944,277500,594
b,433,944,105300,595
a,434,1301,355600,680
b,434,1301,140500,680
a,435,1182,358300,643
b,435,1182,129900,646
a,436,1121,284600,629
b,436,1121,103400,626
a,437,1116,284200,646
b,437,1116,109100,648
a,438,1276,307200,683
b,438,1276,80600,681
a,439,852,351100,579
b,439,852,105800,579
a,440,843,350000,570
b,440,843,118100,572
a,441,820,351000,553
b,441,820,103500,553
a,442,1148,291700,650
b,442,1148,111500,649
a,443,1202,372700,668
b,443,1202,133100,667
a,444,453,320400,447
b,444,453,71500,447
a,445,1204,368400,684
b,445,1204,137600,684
a,446,1242,297200,675
b,446,1242,104200,673
a,447,983,292100,625
b,447,983,72200,626
a,448,690,283000,528
b,448,690,54300,529
a,449,610,358800,501
b,449,610,89100,501
a,450,1110,378100,644
b,450,1110,130500,646
a,451,1200,371100,658
b,451,1200,132800,655
a,452,956,365700,615
b,452,956,114600,614
a,453,1180,381800,647
b,453,1180,133100,648
a,454,822,305400,571
b,454,822,93600,572
a,455,1151,370100,665
b,455,1151,134300,664
a,456,989,355900,617
b,456,989,117600,617
a,457,937,347600,592
b,457,937,113800,591
a,458,1178,356200,664
b,458,1178,132100,665
a,459,859,337500,574
b,459,859,72700,573
a,460,788,310700,562
b,460,788,68200,562
a,461,1133,312300,663
b,461,1133,72200,666
a,462,653,299600,516
b,462,653,60400,514
a,463,664,318300,535
b,463,664,62900,536
a,464,542,297500,485
b,464,542,42300,486
a,465,767,382800,558
b,465,767,68700,558
a,466,1245,399800,674
b,466,1245,99700,675
a,467,1382,330900,726
b,467,1382,82000,727
a,468,925,321000,603
b,468,925,62800,603
a,469,1191,368100,680
b,469,1191,91300,679
a,470,558,385900,503
b,470,558,46100,502
a,471,1216,335800,665
b,471,1216,94300,664
a,472,595,383300,510
b,472,595,58100,510
a,473,742,314100,548
b,473,742,53400,548
a,474,1245,416900,688
b,474,1245,92700,687
a,475,847,363700,603
b,475,847,73800,605
a,476,1368,336700,744
b,476,1368,82500,741
a,477,1070,412000,651
b,477,1070,86200,651
a,478,663,319700,539
b,478,663,51200,539
a,479,1234,417300,708
b,479,1234,79200,710
a,480,1198,344900,700
b,480,1198,80800,699
a,481,967,416700,617
b,481,967,78000,616
a,482,972,418200,628
b,482,972,79900,627
a,483,1392,344600,736
b,483,1392,133700,734
a,484,1292,341900,717
b,484,1292,79700,722
a,485,692,411500,549
b,485,692,65800,549
a,486,960,339400,624
b,486,960,64200,620
a,487,1347,400400,714
b,487,1347,98300,715
a,488,549,334200,508
b,488,549,43700,507
a,489,545,414500,505
b,489,545,44500,504
a,490,828,402900,578
b,490,828,71800,579
a,491,1148,425100,689
b,491,1148,90500,691
a,492,648,417900,546
b,492,648,63400,547
a,493,697,424700,569
b,493,697,66700,568
a,494,844,432500,588
b,494,844,72600,589
a,495,594,400500,526
b,495,594,56900,527
a,496,552,419400,517
b,496,552,64000,517
a,497,674,357100,547
b,497,674,54400,547
a,498,739,429000,572
b,498,739,68200,572
a,499,531,408700,509
b,499,531,51400,509
a,500,658,429700,552
b,500,658,62000,551
